id,employee_id,department,performance_score,years_with_company,salary
756,59,Accounting,47.58,2,58.71
757,96,Accounting,18.82,11,42.29
758,51,Services,42.46,5,30.33
759,4,Business Development,12.39,8,69.04
760,24,Legal,17.97,4,15.68
761,48,Business Development,53.53,4,85.57
762,99,Human Resources,71.36,7,30.28
763,36,Business Development,96.54,11,5.9
764,35,Marketing,79.36,3,20.54
765,41,Product Management,18.6,11,32.13
766,87,Research and Development,57.36,10,43.53
767,19,Research and Development,97.74,8,25.42
768,45,Research and Development,87.97,3,29.32
769,81,Engineering,31.45,5,58.15
770,28,Accounting,98.29,15,90.94
771,23,Human Resources,60.01,2,6.04
772,21,Sales,1.62,5,87.4
773,73,Human Resources,54.96,9,9.43
774,13,Human Resources,67.2,1,37.37
775,56,Support,22.47,6,5.68
776,12,Research and Development,73.29,7,48.5
777,37,Engineering,74.37,6,76.28
778,29,Sales,85.62,14,82.45
779,45,Human Resources,64.06,5,34.75
780,20,Services,41.13,5,73.23
781,30,Support,15.5,18,14.08
782,36,Engineering,5.8,5,75.9
783,52,Marketing,19.41,6,53.77
784,62,Sales,12.13,7,64.19
785,4,Product Management,22.26,3,84.35
786,33,Product Management,77.19,19,38.71
787,20,Support,58.4,10,87.73
788,48,Accounting,3.74,8,45.94
789,59,Research and Development,90.57,5,96.31
790,45,Marketing,76.04,20,66.4
791,54,Sales,84.63,8,94.01
792,23,Product Management,86.29,3,41.49
793,60,Sales,10.95,14,40.95
794,7,Accounting,31.5,3,94.41
795,60,Services,57.21,18,75.84
796,57,Business Development,44.31,3,87.31
797,37,Research and Development,65.35,20,26.97
798,1,Human Resources,70.78,14,98.19
799,71,Research and Development,55.78,3,72.24
800,96,Sales,96.17,2,68.83
801,80,Human Resources,86.82,9,58.61
802,100,Training,96.47,17,11.21
803,60,Legal,95.96,2,25.91
804,9,Support,66.78,13,89.27
805,39,Training,92.09,3,2.28
806,93,Engineering,16.62,10,28.9
807,5,Human Resources,81.69,16,84.0
808,66,Human Resources,62.39,4,88.05
809,32,Legal,6.97,19,91.47
810,3,Training,38.82,2,20.82
811,30,Services,26.96,5,76.91
812,20,Legal,58.91,10,28.99
813,47,Product Management,23.14,16,11.06
814,22,Marketing,13.97,10,90.49
815,82,Support,59.06,2,45.16
816,94,Business Development,47.22,14,58.24
817,74,Training,42.46,16,92.44
818,83,Accounting,11.48,6,16.87
819,30,Business Development,79.83,15,61.4
820,93,Sales,60.69,18,43.83
821,25,Services,1.2,7,43.25
822,30,Engineering,89.9,12,72.03
823,14,Services,62.54,7,33.44
824,63,Services,31.82,7,64.56
825,86,Engineering,29.17,18,57.96
826,23,Human Resources,68.38,8,41.02
827,77,Engineering,5.5,7,41.45
828,22,Business Development,72.59,2,69.58
829,86,Support,20.36,15,28.67
830,61,Product Management,1.82,17,22.62
831,5,Human Resources,23.94,6,20.28
832,46,Legal,97.56,6,87.78
833,58,Support,79.18,10,20.21
834,71,Sales,79.01,17,66.24
835,50,Sales,84.07,16,27.62
836,66,Accounting,2.35,12,39.42
837,50,Marketing,58.98,18,39.05
838,65,Engineering,61.06,3,63.16
839,96,Product Management,27.22,6,95.68
840,71,Accounting,6.51,7,3.22
841,38,Product Management,53.48,1,74.89
842,96,Training,24.31,10,58.36
843,24,Services,65.2,1,57.35
844,59,Training,19.06,5,34.55
845,30,Services,39.06,17,31.34
846,85,Marketing,27.56,5,89.28
847,24,Human Resources,66.96,10,64.79
848,48,Legal,45.45,20,91.84
849,32,Product Management,58.15,3,50.05
850,53,Services,83.8,1,13.16
851,10,Accounting,58.15,10,19.09
852,22,Marketing,29.68,4,30.32
853,22,Marketing,49.36,1,70.37
854,74,Legal,80.04,7,97.59
855,5,Research and Development,46.7,8,80.15
856,28,Services,69.99,18,4.94
857,33,Sales,18.32,4,41.31
858,93,Services,91.92,9,60.11
859,81,Services,67.88,3,85.1
860,97,Legal,84.21,12,95.14
861,32,Legal,29.21,16,30.97
862,82,Services,28.52,14,71.6
863,9,Human Resources,46.07,13,48.95
864,38,Support,13.25,6,98.43
865,14,Training,99.45,10,68.36
866,95,Sales,13.05,7,73.01
867,92,Legal,22.43,2,54.25
868,21,Services,41.46,2,56.2
869,20,Engineering,20.08,14,90.53
870,40,Product Management,33.57,18,84.82
871,41,Accounting,98.05,2,31.67
872,53,Support,68.39,11,77.9
873,35,Services,91.98,17,27.77
874,81,Engineering,6.17,1,47.1
875,58,Business Development,4.57,18,42.55
876,88,Support,64.26,6,29.85
877,68,Marketing,67.07,12,6.16
878,14,Engineering,56.74,18,60.21
879,4,Support,18.16,5,100.0
880,33,Services,59.14,20,10.33
881,91,Support,38.94,4,75.55
882,89,Human Resources,23.62,1,95.03
883,65,Services,13.33,4,72.33
884,89,Human Resources,14.49,7,43.13
885,31,Accounting,70.4,17,20.01
886,50,Sales,26.24,2,48.55
887,76,Accounting,47.18,4,48.18
888,14,Business Development,36.46,20,11.27
889,90,Accounting,47.24,5,19.99
890,89,Human Resources,59.98,18,69.75
891,33,Services,48.58,12,52.37
892,65,Sales,38.29,13,19.09
893,54,Services,96.27,8,39.02
894,30,Support,22.82,11,95.21
895,38,Human Resources,33.23,7,22.5
896,51,Accounting,12.95,1,45.69
897,72,Support,90.13,16,3.13
898,8,Training,61.78,13,7.98
899,80,Services,81.82,10,11.01
900,92,Services,15.02,19,6.68
901,92,Legal,80.84,6,6.47
902,51,Sales,2.41,2,73.13
903,86,Engineering,7.78,19,13.14
904,25,Support,18.76,4,57.17
905,97,Marketing,85.94,10,12.54
906,93,Business Development,4.91,4,7.65
907,85,Research and Development,49.41,15,20.45
908,19,Engineering,35.32,19,63.6
909,34,Research and Development,69.4,11,93.27
910,79,Accounting,42.86,12,94.22
911,68,Engineering,57.19,1,81.91
912,84,Product Management,72.67,14,51.87
913,9,Research and Development,20.28,5,97.81
914,44,Support,34.97,20,79.29
915,35,Legal,87.98,6,15.74
916,49,Accounting,85.78,7,14.11
917,33,Legal,91.46,7,69.37
918,73,Services,97.95,14,20.79
919,68,Business Development,88.3,11,92.1
920,90,Business Development,77.62,13,64.31
921,63,Support,71.35,7,98.6
922,60,Marketing,53.46,4,10.28
923,9,Engineering,11.49,17,85.23
924,89,Services,82.08,3,81.88
925,46,Engineering,78.39,19,37.81
926,97,Training,82.02,6,35.23
927,36,Human Resources,34.86,9,55.53
928,41,Marketing,51.33,9,8.31
929,59,Legal,37.17,7,67.13
930,69,Legal,88.09,16,27.77
931,23,Engineering,58.56,16,92.54
932,15,Business Development,76.18,1,96.64
933,70,Services,60.47,11,91.05
934,92,Training,99.07,1,19.31
935,91,Training,11.37,19,4.83
936,18,Accounting,61.7,16,72.93
937,34,Accounting,30.51,12,97.36
938,87,Services,46.86,10,31.36
939,89,Sales,94.38,8,48.35
940,52,Marketing,2.9,2,58.13
941,23,Legal,69.14,4,50.29
942,80,Sales,31.86,8,71.94
943,71,Human Resources,55.59,18,68.49
944,14,Engineering,36.3,12,74.89
945,30,Product Management,5.27,11,59.75
946,52,Accounting,57.64,9,81.44
947,57,Services,42.0,18,91.86
948,18,Services,84.27,2,10.95
949,58,Accounting,58.2,16,9.63
950,2,Legal,5.72,19,45.05
951,78,Services,52.02,10,70.17
952,47,Accounting,8.37,13,31.96
953,96,Sales,66.49,2,30.26
954,25,Accounting,69.62,5,97.73
955,33,Sales,71.86,9,71.76
956,26,Product Management,6.64,14,39.52
957,24,Support,98.4,3,3.8
958,34,Marketing,61.15,1,62.21
959,58,Legal,71.34,20,25.19
960,39,Marketing,87.92,9,70.97
961,6,Sales,5.81,15,22.91
962,78,Accounting,20.42,3,20.35
963,52,Training,32.68,11,54.47
964,63,Legal,21.04,5,68.72
965,36,Human Resources,32.32,17,96.31
966,60,Business Development,56.02,19,95.74
967,45,Services,32.63,1,36.57
968,91,Services,50.85,16,88.41
969,79,Training,68.72,20,99.23
970,26,Accounting,75.74,11,17.68
971,20,Product Management,20.11,6,13.33
972,10,Accounting,39.15,18,31.24
973,51,Training,40.65,10,79.61
974,63,Services,69.24,10,93.11
975,62,Support,22.36,11,46.2
976,62,Accounting,50.41,17,90.72
977,23,Product Management,75.61,9,30.31
978,61,Legal,5.78,16,71.26
979,41,Business Development,26.5,3,97.53
980,100,Research and Development,75.09,15,16.15
981,78,Training,3.76,9,5.58
982,12,Legal,92.34,19,20.25
983,37,Legal,66.19,16,74.78
984,36,Services,85.9,20,23.96
985,76,Human Resources,54.19,6,53.75
986,10,Human Resources,1.1,12,81.35
987,97,Product Management,83.89,5,17.36
988,45,Services,97.86,15,22.3
989,97,Legal,39.82,12,61.45
990,49,Services,11.8,6,96.22
991,77,Legal,47.96,8,89.7
992,79,Engineering,77.19,1,83.71
993,91,Training,22.54,3,42.24
994,33,Human Resources,69.77,19,33.81
995,69,Support,26.23,6,31.88
996,8,Legal,6.21,15,59.1
997,72,Support,95.59,6,95.82
998,46,Support,54.93,17,68.16
999,56,Product Management,16.28,17,42.01
1000,42,Human Resources,23.72,13,29.51
